strike,settle,future
1050,0.05,2830
1075,0.05,
1100,0.05,
1125,0.05,
1150,0.05,
1175,0.05,
1200,0.05,
1225,0.1,
1250,0.1,
1275,0.1,
1300,0.1,
1325,0.1,
1350,0.15,
1375,0.15,
1400,0.15,
1425,0.2,
1450,0.2,
1475,0.2,
1500,0.25,
1525,0.25,
1550,0.3,
1575,0.3,
1600,0.35,
1625,0.35,
1650,0.4,
1675,0.4,
1700,0.45,
1725,0.5,
1750,0.5,
1775,0.55,
1800,0.6,
1825,0.65,
1850,0.7,
1860,0.7,
1870,0.75,
1875,0.75,
1880,0.75,
1890,0.8,
1900,0.85,
1910,0.85,
1920,0.9,
1925,0.9,
1930,0.95,
1940,1,
1950,1.05,
1960,1.1,
1970,1.15,
1975,1.15,
1980,1.2,
1990,1.25,
2000,1.3,
2010,1.35,
2020,1.45,
2025,1.45,
2030,1.5,
2040,1.55,
2050,1.6,
2060,1.7,
2070,1.75,
2075,1.8,
2080,1.85,
2090,1.9,
2100,2,
2110,2.1,
2120,2.2,
2125,2.25,
2130,2.3,
2140,2.45,
2150,2.55,
2160,2.7,
2170,2.85,
2175,2.95,
2180,3,
2190,3.15,
2200,3.35,
2210,3.5,
2220,3.7,
2225,3.8,
2230,3.9,
2240,4.1,
2250,4.35,
2260,4.55,
2270,4.85,
2275,4.95,
2280,5,
2290,5.5,
2300,5.75,
2310,6,
2320,6.5,
2325,6.5,
2330,6.75,
2340,7.25,
2350,7.5,
2360,8,
2370,8.5,
2375,8.75,
2380,9,
2390,9.5,
2400,10,
2410,10.5,
2420,11,
2425,11.25,
2430,11.5,
2440,12,
2450,12.75,
2460,13.5,
2470,14.25,
2475,14.5,
2480,15,
2490,15.75,
2500,16.5,
2510,17.5,
2520,18.5,
2525,19,
2530,19.5,
2540,20.5,
2545,21.25,
2550,21.75,
2555,22.25,
2560,23,
2565,23.5,
2570,24,
2575,24.75,
2580,25.5,
2585,26,
2590,26.75,
2595,27.25,
2600,28,
2605,28.75,
2610,29.5,
2615,30.25,
2620,31,
2625,31.75,
2630,32.5,
2635,33.5,
2640,34.5,
2645,35.25,
2650,36.25,
2655,37,
2660,38,
2665,39,
2670,40,
2675,41,
2680,42,
2685,43,
2690,44,
2695,45,
2700,46,
2705,47.25,
2710,48.5,
2715,49.5,
2720,50.75,
2725,52,
2730,53.25,
2735,54.75,
2740,56,
2745,57.5,
2750,58.75,
2755,60.25,
2760,61.5,
2765,63,
2770,64.5,
2775,66,
2780,67.75,
2785,69.25,
2790,71,
2795,72.5,
2800,74.25,
2805,76,
2810,77.75,
2815,79.5,
2820,81.25,
2825,83.25,
2830,85,
2835,87,
2840,89,
2845,90.75,
2850,93,
2855,95,
2860,97,
2865,99.25,
2870,101.5,
2875,104,
2880,106.25,
2885,108.75,
2890,111.25,
2895,113.5,
2900,116.25,
2905,118.75,
2910,121.5,
2915,124,
2920,127,
2925,129.75,
2930,132.5,
2935,135.5,
2940,138.5,
2945,141.75,
2950,145,
2955,148,
2960,151.5,
2965,155,
2970,158.5,
2975,162,
2980,165.75,
2985,169.5,
2990,173.25,
2995,177,
3000,181,
3005,185,
3010,189,
3015,193.25,
3020,197.5,
3025,201.75,
3030,206,
3035,210.5,
3040,215,
3045,219.5,
3050,224,
3055,228.5,
3060,233,
3065,237.75,
3070,242.5,
3075,247.25,
3080,252,
3085,256.75,
3090,261.5,
3095,266.25,
3100,271,
3110,281,
3120,290.5,
3125,295.5,
3130,300.5,
3140,310.25,
3150,320.25,
3160,330,
3170,340,
3175,345,
3180,350,
3190,360,
3200,370,
3210,380,
3220,390,
3225,395,
3230,400,
3240,410,
3250,420,
3260,430,
3270,440,
3275,445,
3280,450,
3290,460,
3300,470,
3310,480,
3320,490,
3325,495,
3330,500,
3340,510,
3350,520,
3360,530,
3370,540,
3375,545,
3380,550,
3390,560,
3400,570,
3410,580,
3420,590,
3425,595,
3430,600,
3440,610,
3450,620,
3460,630,
3470,640,
3475,645,
3480,650,
3490,660,
3500,670,
3510,680,
3520,690,
3525,695,
3530,700,
3540,710,
3550,720,
3575,745,
3600,770,
3625,795,
3650,820,
3675,845,
3700,870,
3725,895,
3750,920,
3775,945,
3800,970,
3825,995,
3850,1020,
3875,1045,
3900,1070,
3925,1095,
3950,1120,
3975,1145,
4000,1170,
4025,1195,
4050,1220,
4075,1245,
4100,1270,
4125,1295,
4150,1320,
4175,1345,
4200,1370,
4225,1395,
4250,1420,
4275,1445,
4300,1470,
4325,1495,
4350,1520,
4375,1545,
4400,1570,
4425,1595,
